version,acc,sen,spe,auc
CN_AD_M2ROI-FN_v1,87.94,91.28,82.99,90.82
CN_AD_M2ROI-FN_v2,88.59,92.64,82.59,90.95
CN_AD_M2ROI-FN_v3,83.38,89.37,74.49,85.91
CN_AD_M2ROI-FN_v4,85.83,93.73,74.08,89.76
CN_AD_M2ROI-FN_v5,87.13,91.28,80.97,90.43
CN_AD_M2ROI-FN_v6,89.41,92.91,84.21,92.14
CN_AD_M2ROI-FN_v7,90.39,93.46,85.82,93.70
CN_AD_M2ROI-FN_v8,91.53,95.09,86.23,93.97
CN_AD_M2ROI-FN_v9,89.08,92.91,83.40,92.61
CN_AD_M2ROI-FN_v10,91.04,94.82,85.42,94.58
CN_AD_M2ROI-FN_v11,90.55,95.91,82.59,93.42
CN_AD_M2ROI-FN_v12,91.69,94.55,87.44,94.84
CN_AD_M2ROI-FN_v13,92.01,94.82,87.85,95.49
CN_AD_M2ROI-FN_v14,93.15,94.82,90.68,95.75
CN_AD_M2ROI-FN_v15,92.99,95.09,89.87,95.84
