version,acc,sen,spe,auc
sMCI_pMCI_M2ROI-FN_v1,71.72,80.53,56.81,70.91
sMCI_pMCI_M2ROI-FN_v2,72.78,84.56,52.84,72.66
sMCI_pMCI_M2ROI-FN_v3,69.40,81.87,48.29,66.51
sMCI_pMCI_M2ROI-FN_v4,70.88,87.58,42.61,68.50
sMCI_pMCI_M2ROI-FN_v5,70.04,83.89,46.59,67.89
sMCI_pMCI_M2ROI-FN_v6,74.89,84.22,59.09,74.05
sMCI_pMCI_M2ROI-FN_v7,74.05,85.57,54.54,72.99
sMCI_pMCI_M2ROI-FN_v8,73.83,82.88,58.52,75.04
sMCI_pMCI_M2ROI-FN_v9,70.25,85.57,44.31,67.55
sMCI_pMCI_M2ROI-FN_v10,75.52,89.93,51.13,74.46
sMCI_pMCI_M2ROI-FN_v11,72.36,85.23,50.56,70.34
sMCI_pMCI_M2ROI-FN_v12,74.05,83.55,57.95,73.66
sMCI_pMCI_M2ROI-FN_v13,73.20,83.89,55.11,73.57
sMCI_pMCI_M2ROI-FN_v14,77.42,86.24,62.5,80.14
sMCI_pMCI_M2ROI-FN_v15,74.05,85.90,53.97,76.24
